Source (A),Source (B),Source (C),Source (D),Source (E),Source (F),Source (G),Source (H),Source (I),WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
21st Century Education,"21st Century Education is on a mission to bring affordable, quality, and research-based education that is easy to access and share that can be delivered anytime, anywhere, and for anyone.",187,30,6,0,28,14,6.233333333333333,31,54.54,74.07,39.18,99.00,31.00,32.26,90.32,51.61,9.68,0.00,0.00,0.00,0.00,0.00,0.00,9.68,3.23,12.90,12.90,3.23,9.68,0.00,16.13,6.45,0.00,0.00,0.00,0.00,6.45,6.45,0.00,0.00,0.00,0.00,6.45,0.00,0.00,0.00,0.00,12.90,0.00,3.23,0.00,9.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.90,3.23,0.00,6.45,3.23,0.00,0.00,19.35,0.00,19.35,6.45,6.45,6.45,9.68,0.00,0.00,3.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.35,3.23,12.90,0.00,0.00,0.00,0.00,3.23,0.00,0.00,0.00,0.00
3M,"To Improve Every Life through Innovative Giving in Education, Community and the Environment",91,13,1,0,4,5,7.0,13,99.00,93.79,17.46,99.00,13.00,46.15,92.31,38.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.69,23.08,0.00,0.00,7.69,0.00,7.69,0.00,0.00,0.00,0.00,7.69,15.38,15.38,0.00,0.00,0.00,0.00,15.38,0.00,0.00,0.00,0.00,7.69,0.00,0.00,0.00,0.00,7.69,0.00,0.00,0.00,0.00,0.00,7.69,0.00,7.69,0.00,0.00,23.08,7.69,7.69,7.69,0.00,0.00,0.00,0.00,0.00,15.38,0.00,15.38,0.00,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.69,0.00,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
99designs,Create and grow the world by design,35,7,0,0,6,3,5.0,7,99.00,50.00,89.63,99.00,7.00,0.00,85.71,42.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,14.29,0.00,0.00,14.29,0.00,28.57,0.00,0.00,0.00,0.00,0.00,14.29,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,0.00,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,0.00,14.29,0.00,0.00,0.00,0.00,14.29,0.00,28.57,14.29,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AALBORG UNIVERSITY,"AAU contributes to the knowledge build-up of the global society as well as to the development of the prosperity, welfare and culture of Danish society. This is accomplished through research, research based education, public sector services and knowledge collaboration.

We are educating students for the future and are basing our activities on a dynamic and transformative collaboration with our local communities. Our employees embrace all academic fields and take a holistic approach which challenges existing paradigms and creates robust, research based solutions to the complex challenges of society.
  
  We are educating students for the future and are basing our activities on a dynamic and transformative collaboration with our local communities. Our employees embrace all academic fields and take a holistic approach which challenges existing paradigms and creates robust, research based solutions to the complex challenges of society.",944,137,12,1,130,58,6.890510948905109,138,94.50,95.89,7.41,97.03,23.00,42.03,80.43,42.03,7.97,5.80,0.00,5.80,0.00,0.00,0.00,2.17,8.70,13.77,3.62,0.72,8.70,0.00,8.70,4.35,1.45,1.45,0.00,1.45,5.07,5.07,0.00,0.00,0.00,0.00,11.59,0.00,0.00,0.00,0.00,9.42,4.35,5.07,0.00,0.00,1.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.19,9.42,6.52,4.35,2.90,0.00,0.00,5.07,1.45,7.97,1.45,5.07,1.45,16.67,0.00,0.00,0.00,0.00,0.00,0.72,0.00,0.00,0.00,0.72,0.00,8.70,4.35,3.62,0.00,0.00,0.00,0.00,0.72,0.00,0.00,0.00,0.00
AALTO UNIVERSITY,Shaping the future: science and art together with technology and business.,74,11,2,0,10,4,6.7272727272727275,11,93.26,81.84,85.21,25.77,11.00,45.45,90.91,36.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.09,9.09,0.00,0.00,18.18,0.00,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.09,9.09,0.00,0.00,0.00,0.00,0.00,0.00,9.09,27.27,0.00,18.18,9.09,18.18,9.09,0.00,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.18,9.09,0.00,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AARHUS UNIVERSITY,"Aarhus University is a comprehensive, research university which creates and shares knowledge. ",94,12,2,0,10,4,7.833333333333333,12,62.04,79.76,23.51,99.00,12.00,50.00,91.67,33.33,8.33,0.00,0.00,0.00,0.00,0.00,0.00,8.33,8.33,0.00,8.33,0.00,8.33,0.00,16.67,0.00,0.00,8.33,0.00,0.00,16.67,16.67,0.00,0.00,0.00,0.00,8.33,0.00,0.00,0.00,0.00,25.00,16.67,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,8.33,8.33,0.00,0.00,0.00,0.00,16.67,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,8.33,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AARP,To enhance quality of life for all as we age,44,10,0,0,9,6,4.4,10,99.00,97.69,3.37,25.77,10.00,20.00,80.00,50.00,10.00,10.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,40.00,0.00,0.00,10.00,0.00,0.00,10.00,10.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,10.00,0.00,0.00,20.00,10.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Academy of Art University,"Academy of Art University prepares aspiring professionals in the fields of design, communications and the arts by delivering excellent undergraduate and
graduate degrees programs and certificate programs and portfolio development programs.",239,31,2,0,28,10,7.709677419354839,31,97.44,62.65,1.00,83.22,31.00,54.84,90.32,32.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.45,12.90,0.00,0.00,12.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.23,3.23,0.00,0.00,0.00,0.00,3.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.23,0.00,3.23,0.00,0.00,6.45,3.23,3.23,0.00,0.00,0.00,0.00,0.00,3.23,6.45,3.23,3.23,0.00,38.71,6.45,0.00,3.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.45,3.23,3.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Accenture,"To deliver on the promise of technology and human ingenuity. We embrace the power of change to create 360° value for our clients, people and communities.",153,26,3,0,23,12,5.884615384615385,26,99.00,99.00,5.76,99.00,13.00,26.92,84.62,46.15,7.69,7.69,0.00,7.69,0.00,0.00,0.00,0.00,7.69,23.08,0.00,0.00,7.69,0.00,3.85,0.00,0.00,0.00,3.85,0.00,11.54,11.54,0.00,0.00,0.00,0.00,19.23,0.00,0.00,0.00,0.00,11.54,0.00,7.69,0.00,0.00,3.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.23,11.54,3.85,3.85,0.00,0.00,0.00,0.00,0.00,11.54,7.69,3.85,0.00,3.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.38,7.69,3.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.85
Adidas,"To us ‘best’ means that we design, build and sell the best sports products in the world, with the best service and experience, and that we do so in a sustainable way. But ‘best’ is also what our consumers, athletes, teams, partners, media and shareholders say about us. Everything we do is rooted in sport. We operate in a highly attractive industry. We push the boundaries of Products, experiences and Services to drive brand desire and capitalize on the growth opportunities in sport as well as in sports-inspired casual and activewear. However, the importance of sport goes far beyond that. Sport is central to every culture and society and is core to an individual’s health and happiness. Therefore, we believe that, through sport, we have the power to change lives. And we work every day to inspire and enable people to harness the power of sport in their lives.",867,149,22,0,138,68,5.818791946308725,150,78.30,97.30,20.24,99.00,16.67,21.33,92.67,52.00,12.00,8.00,0.00,7.33,0.00,0.00,0.67,4.00,7.33,16.00,4.67,4.67,12.00,0.00,10.00,5.33,4.00,0.67,0.00,1.33,8.00,7.33,0.00,0.00,0.00,0.00,13.33,0.00,0.67,0.00,0.00,10.67,2.67,4.00,0.67,0.00,2.00,1.33,2.00,0.00,0.67,0.00,2.67,0.00,2.67,0.00,0.00,16.00,8.67,6.00,4.00,4.00,0.00,0.00,10.00,0.00,12.67,3.33,8.67,0.67,6.67,7.33,0.00,2.00,0.00,0.00,0.67,0.00,0.00,0.00,0.67,0.00,18.00,6.00,8.00,0.00,0.00,0.00,0.00,0.67,1.33,2.00,0.00,0.00
Adobe,To move the web forward and give web designers and developers the best tools and services in the world.,103,19,1,0,18,8,5.421052631578948,19,98.71,70.08,50.35,97.58,19.00,21.05,78.95,42.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.79,10.53,0.00,0.00,15.79,0.00,10.53,5.26,5.26,0.00,0.00,0.00,5.26,5.26,0.00,0.00,0.00,0.00,5.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.26,0.00,5.26,5.26,5.26,0.00,0.00,10.53,0.00,21.05,10.53,15.79,5.26,10.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.26,5.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Aetna,Empowering people to live healthier lives,41,6,0,0,5,1,6.833333333333333,6,99.00,95.20,1.00,25.77,6.00,33.33,83.33,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,0.00,0.00,0.00,33.33,16.67,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AIG,"We reduce fear of the future and empower our clients
through our risk expertise and financial strength",102,17,0,0,16,8,6.0,17,74.42,99.00,1.00,1.00,17.00,35.29,88.24,47.06,17.65,17.65,0.00,17.65,0.00,0.00,0.00,0.00,5.88,11.76,0.00,0.00,11.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.65,5.88,11.76,11.76,0.00,0.00,17.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.29,17.65,0.00,11.76,0.00,5.88,0.00,0.00,5.88,5.88,0.00,0.00,5.88,11.76,0.00,0.00,5.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AirBnb,Belong anywhere.,16,2,1,0,1,0,8.0,2,1.92,50.00,99.00,25.77,2.00,50.00,100.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,0.00,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AL-FARABI KAZAKH NATIONAL UNIVERSITY,Formation of personnel potential – highly qualified specialists competitive on domestic and international labor market,118,15,0,0,13,3,7.866666666666666,14,97.73,50.00,13.15,25.77,14.00,57.14,71.43,21.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,0.00,0.00,7.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.14,0.00,0.00,0.00,7.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,0.00,14.29,7.14,0.00,0.00,0.00,0.00,7.14,14.29,0.00,14.29,0.00,28.57,0.00,7.14,7.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Alibaba Group,To make it easy to do business anywhere.,40,8,1,0,7,4,5.0,8,72.69,50.00,7.84,99.00,8.00,25.00,100.00,62.50,12.50,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,25.00,12.50,12.50,0.00,0.00,25.00,12.50,0.00,0.00,0.00,0.00,12.50,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,12.50,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,12.50,0.00,12.50,0.00,12.50,0.00,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Allianz,"We secure your future. Our mission informs every decision we make, every day.",77,13,3,0,11,4,5.923076923076923,13,24.14,99.00,94.81,99.00,6.50,23.08,92.31,30.77,30.77,30.77,0.00,23.08,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.38,0.00,0.00,0.00,0.00,15.38,7.69,7.69,0.00,0.00,0.00,0.00,38.46,0.00,0.00,0.00,0.00,38.46,15.38,7.69,0.00,0.00,15.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.77,23.08,0.00,0.00,0.00,7.69,0.00,15.38,7.69,15.38,0.00,0.00,15.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.08,15.38,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Allstate,Deliver substantially more value than the competition by reinventing protection and retirement to improve customers' lives,122,16,1,0,15,6,7.625,16,99.00,26.60,7.84,99.00,16.00,50.00,87.50,31.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.25,18.75,0.00,0.00,6.25,0.00,6.25,12.50,12.50,0.00,0.00,6.25,12.50,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.25,0.00,0.00,0.00,0.00,0.00,6.25,0.00,0.00,0.00,0.00,6.25,0.00,6.25,0.00,0.00,18.75,0.00,12.50,6.25,0.00,6.25,0.00,6.25,0.00,6.25,6.25,0.00,0.00,18.75,0.00,0.00,6.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.25,0.00,0.00
Alta Motors,Alta Motors turns riders into superheroes,41,6,0,0,4,1,6.833333333333333,6,99.00,50.00,98.01,25.77,6.00,16.67,33.33,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,0.00,0.00,0.00,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,33.33,16.67,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Altria Group,Our Mission is to own and develop financially disciplined businesses that are leaders in responsibly providing adult tobacco and wine consumers with superior branded products.,175,25,1,0,23,10,7.0,25,73.88,97.69,1.59,91.14,25.00,52.00,80.00,36.00,8.00,4.00,0.00,4.00,0.00,0.00,0.00,4.00,0.00,12.00,8.00,0.00,8.00,0.00,8.00,0.00,0.00,0.00,0.00,0.00,4.00,4.00,0.00,0.00,0.00,0.00,16.00,0.00,0.00,0.00,0.00,4.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,4.00,12.00,4.00,4.00,8.00,0.00,0.00,0.00,8.00,0.00,8.00,0.00,8.00,0.00,28.00,4.00,0.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AltSchool,AltSchool's mission is to enable all children to reach their full potential.,76,12,2,0,11,5,6.333333333333333,12,93.26,95.20,1.79,25.77,12.00,33.33,75.00,33.33,8.33,8.33,0.00,0.00,0.00,0.00,8.33,0.00,0.00,16.67,8.33,0.00,0.00,0.00,8.33,8.33,0.00,0.00,0.00,8.33,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00,0.00,0.00,0.00,25.00,0.00,8.33,0.00,8.33,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,16.67,8.33,0.00,0.00,0.00,8.33,8.33,8.33,0.00,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,0.00,0.00
AltX,"At AltX - we're world class financial professionals, working with technology experts, to empower people to make better data driven decisions.",141,21,5,0,18,4,6.714285714285714,20,99.00,93.30,43.37,96.76,20.00,35.00,80.00,25.00,5.00,5.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,15.00,5.00,5.00,0.00,0.00,0.00,5.00,5.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,10.00,5.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,5.00,15.00,5.00,5.00,0.00,0.00,10.00,0.00,15.00,5.00,10.00,0.00,20.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,5.00,10.00,0.00,0.00,0.00,0.00,5.00,0.00,5.00,0.00,0.00
Amazon,"To be Earth‚Äôs most customer-centric company, where customers can find and discover anything they might want to buy online, and endeavors to offer its customers the lowest possible prices.",189,29,4,0,27,12,6.517241379310345,31,63.48,83.34,8.87,1.23,31.00,29.03,90.32,41.94,9.68,3.23,0.00,0.00,0.00,0.00,3.23,6.45,3.23,9.68,9.68,3.23,6.45,0.00,12.90,6.45,6.45,3.23,0.00,3.23,3.23,0.00,3.23,0.00,0.00,3.23,9.68,0.00,0.00,0.00,0.00,22.58,6.45,0.00,3.23,12.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.45,0.00,3.23,3.23,0.00,0.00,0.00,12.90,3.23,9.68,0.00,9.68,0.00,12.90,0.00,0.00,16.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.90,3.23,6.45,0.00,0.00,0.00,0.00,3.23,0.00,0.00,0.00,0.00
Amazon.com,To be Earth's most customer centric company; to build a place where people can come to find and discover anything they might want to buy online.,144,26,3,0,24,11,5.538461538461538,26,82.82,87.57,17.46,25.77,26.00,19.23,84.62,46.15,7.69,3.85,0.00,0.00,0.00,0.00,3.85,3.85,3.85,15.38,11.54,3.85,3.85,0.00,19.23,3.85,3.85,3.85,0.00,3.85,0.00,0.00,0.00,0.00,0.00,0.00,11.54,0.00,0.00,0.00,0.00,23.08,7.69,0.00,3.85,11.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.23,3.85,11.54,3.85,7.69,0.00,7.69,0.00,0.00,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.54,3.85,0.00,0.00,3.85,0.00,0.00,0.00,0.00,3.85,0.00,0.00
